フラグ,コード,歌手,タイトル,リンク
J,298,内山田洋とクール・ファイブ,北ホテル,https://www.youtube.com/watch?v=s2lWOr9rIFY
J,299,内山田洋とクール・ファイブ,"内山田洋とクールファイブ Golden Best",https://www.youtube.com/watch?v=eIQavtrBHXU
J,301,石原裕次郎,北の旅人,http://www.youtube.com/watch?v=nscgI37ssDA
J,302,石原裕次郎,ブランデーグラス,http://www.youtube.com/watch?v=ekXuqZm0MmU
J,303,石原裕次郎,夜霧よ今夜も有難う,http://www.youtube.com/watch?v=rVG3x1BsE-4
J,304,石原裕次郎,嵐を呼ぶ男,http://www.youtube.com/watch?v=zyg-Ps9AyVs
J,305,石原裕次郎,恋の町札幌,https://www.youtube.com/watch?v=-9WsT6f3sCE
J,305,石原裕次郎,二人の世界,https://www.youtube.com/watch?v=tlzjWo0CO64
J,306,石原裕次郎,わが人生に悔いなし,https://www.youtube.com/watch?v=YnhIDLdxzAE
J,307,石原裕次郎,"銀座の恋の物語（with 牧村旬子）",http://www.youtube.com/watch?v=9d52856ejiE
J,308,石原裕次郎,"夕陽の丘（with 浅丘ルリ子）",https://www.youtube.com/watch?v=Cq5Vtv4hE5U
J,309,石原裕次郎,嵐を呼ぶ男（ジョージ川口ら豪華伴奏版）,http://www.youtube.com/watch?v=ABHwyqmIuJA
J,310,石原裕次郎,"石原裕次郎 デュエット・ライブ映像集",http://www.youtube.com/watch?v=hcxnQ7d8_YI
J,311,内藤やす子,弟よ,http://www.youtube.com/watch?v=zZDyE1je-fI
J,312,内藤やす子,想い出ぼろぼろ,http://www.youtube.com/watch?v=OPqsGG3zSFY
J,313,内藤やす子,六本木ララバイ,https://www.youtube.com/watch?v=6mjX-tGetoc
J,314,内藤やす子,ラヴ・イズ・オーヴァー,http://www.youtube.com/watch?v=40yZMJQ4VBk
J,315,内藤やす子,六本木ララバイ（紅白歌合戦）,http://www.youtube.com/watch?v=42PUYxS28Xo
J,321,加山雄三,君といつまでも,https://www.youtube.com/watch?v=bBhe_flTjU0
J,322,加山雄三,旅人よ,https://www.youtube.com/watch?v=CblEU4ByJlI
J,323,加山雄三,お嫁においで,https://www.youtube.com/watch?v=fg1iCHAedfY
J,324,加山雄三,"海 その愛",https://www.youtube.com/watch?v=EgV2_71s3oA
J,325,加山雄三,蒼い星くず,https://www.youtube.com/watch?v=mjOTh7GwA2M
J,326,加山雄三,光進丸,https://www.youtube.com/watch?v=1p3xMwGUims
J,327,加山雄三,"加山雄三 CONCERT TOUR '91",https://www.youtube.com/watch?v=qem3tvLm6P0
J,328,加山雄三,"「君といつまでも」 @ 朝霧JAM'22",https://www.youtube.com/watch?v=NlXUkBjRwTM
J,331,由紀さおり,夜明けのスキャット,https://www.youtube.com/watch?v=mvssMZIwtjA
J,332,由紀さおり,手紙,https://www.youtube.com/watch?v=uvqfQYsbM4U
J,333,由紀さおり,挽歌,https://www.youtube.com/watch?v=AnLrUB-oGnE
J,334,由紀さおり,ルーム・ライト,https://www.youtube.com/watch?v=84u8Mz6Xfvo
J,335,由紀さおり,恋文,https://www.youtube.com/watch?v=LEPTkktV1Zo
J,336,由紀さおり,1970年前後の歌唱クリップ,https://www.youtube.com/watch?v=vFusnc1m7bk
J,337,由紀さおり,"人生歌がある　ライブ・チャレンジ2026",https://www.youtube.com/watch?v=I_PYSTZDhuc
J,341,一青窈,ハナミズキ,https://www.youtube.com/watch?v=TngUo1gDNOg
